title,year,certificate,duration,genre,rating,description,stars,votes
Stranger Things,(2016– ),TV-14,51 min,"Drama, Fantasy, Horror",8.7,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","['Millie Bobby Brown, ', 'Finn Wolfhard, ', 'Winona Ryder, ', 'Caleb McLaughlin']","11,49,889"
End of the Road,(II) (2022),R,89 min,"Action, Crime, Drama",4.7,"In this high-octane action thriller, a cross-country road trip becomes a highway to hell for Brenda and her family. Alone in the New Mexico desert, they have to fight for their lives when they become the targets of a mysterious killer.","['Millicent Shelton', '| ', '    Stars:', 'Queen Latifah, ', 'Ludacris, ', 'Mychala Lee, ', 'Shaun Dixon']","5,122"
The Walking Dead,(2010–2022),TV-MA,44 min,"Drama, Horror, Thriller",8.1,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"['Andrew Lincoln, ', 'Norman Reedus, ', 'Melissa McBride, ', 'Lauren Cohan']","9,70,060"
Glass Onion: A Knives Out Mystery,-2022,PG-13,139 min,"Crime, Drama, Mystery",8.1,Famed Southern detective Benoit Blanc travels to Greece for his latest case.,"['Rian Johnson', '| ', '    Stars:', 'Daniel Craig, ', 'Edward Norton, ', 'Kate Hudson, ', 'Dave Bautista']",547
Do Revenge,-2022,TV-MA,118 min,Comedy,6.4,Drea and Eleanor agree to go after one another's bullies.,"['Jennifer Kaytin Robinson', '| ', '    Stars:', 'Camila Mendes, ', 'Maya Hawke, ', 'Austin Abrams, ', 'Rish Shah']","13,457"
I Came By,-2022,TV-MA,110 min,Thriller,6.1,Follows a young graffiti artist who discovers a shocking secret that would put him and the ones closest to him in danger.,"['Babak Anvari', '| ', '    Stars:', 'Antonio Aakeel, ', 'Alicia Ambrose-Bayly, ', 'Percelle Ascott, ', 'Franc Ashman']","16,230"
No Limit,-2022,TV-MA,118 min,"Drama, Romance, Sport",5.8,Roxana Aubrey decides to drop her studies and escape her life in Paris for a free diving course in the south of France. She is quickly pulled into a life that reaches new depths brought by the weight of an ocean's descent.,"['David M. Rosenthal', '| ', '    Stars:', 'Camille Rowe, ', 'Sofiane Zermani, ', 'César Domboy, ', 'Laurent Fernandez']","1,695"
1899,(2022– ),,60 min,"Drama, History, Horror",9.6,Multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea.,"['Ben Ashenden, ', 'Aneurin Barnard, ', 'Emily Beecham, ', 'Anton Lesser']",853
Peaky Blinders,(2013–2022),TV-MA,60 min,"Crime, Drama",8.8,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","['Cillian Murphy, ', 'Paul Anderson, ', 'Sophie Rundle, ', 'Helen McCrory']","5,31,058"
Fate: The Winx Saga,(2021– ),TV-MA,,"Action, Adventure, Drama",6.9,"A live-action adaptation of Nickelodeon's Winx Club (2004). It follows Bloom as she adjusts to life in the Otherworld, where she must learn to control her dangerous magical powers.","['Sadie Soverall, ', 'Abigail Cowen, ', 'Freddie Thorp, ', 'Hannah van der Westhuysen']","43,179"
The Lord of the Rings: The Fellowship of the Ring,-2001,PG-13,178 min,"Action, Adventure, Drama",8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"['Peter Jackson', '| ', '    Stars:', 'Elijah Wood, ', 'Ian McKellen, ', 'Orlando Bloom, ', 'Sean Bean']","18,44,055"
Grey's Anatomy,(2005– ),TV-14,41 min,"Drama, Romance",7.6,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,"['Ellen Pompeo, ', 'Chandra Wilson, ', 'James Pickens Jr., ', 'Justin Chambers']","3,03,617"
Supernatural,(2005–2020),TV-14,44 min,"Drama, Fantasy, Horror",8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","['Jared Padalecki, ', 'Jensen Ackles, ', 'Jim Beaver, ', 'Misha Collins']","4,39,597"
American Horror Story,(2011– ),TV-MA,60 min,"Drama, Horror, Sci-Fi",8,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, and a bleak beach town and desert valley.","['Lady Gaga, ', 'Kathy Bates, ', 'Angela Bassett, ', 'Sarah Paulson']","3,12,970"
The Accidental Narco,(2022– ),TV-MA,50 min,"Action, Biography, Crime",7.4,A civilian businessman who has no choice but to cooperate with the secret operation of the National Intelligence Service to arrest the Korean drug lord who has taken control of Suriname in South America.,"['Ha Jung-woo, ', 'Hwang Jung-min, ', 'Park Hae-soo, ', 'Woo-jin Jo']","2,056"
NCIS,(2003– ),TV-14,60 min,"Action, Crime, Drama",7.8,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","['David McCallum, ', 'Mark Harmon, ', 'Sean Murray, ', 'Pauley Perrette']","1,45,895"
Friends,(1994–2004),TV-14,22 min,"Comedy, Romance",8.9,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"['Jennifer Aniston, ', 'Courteney Cox, ', 'Lisa Kudrow, ', 'Matt LeBlanc']","9,79,424"
Shameless,(2011–2021),TV-MA,46 min,"Comedy, Drama",8.6,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","['Emmy Rossum, ', 'William H. Macy, ', 'Ethan Cutkosky, ', 'Jeremy Allen White']","2,39,541"
